ua_name,ua_id,state,county,tract,block,block_geoid
"Tipton, IN",87679,18,057,110201,1034,180571102011034
"Tipton, IN",87679,18,057,110201,1037,180571102011037
"Tipton, IN",87679,18,057,110201,1015,180571102011015
"Tipton, IN",87679,18,057,110201,1010,180571102011010
"Tipton, IN",87679,18,057,110201,1006,180571102011006
"Tipton, IN",87679,18,057,110201,1012,180571102011012
"Tipton, IN",87679,18,057,110201,1021,180571102011021
"Tipton, IN",87679,18,057,110201,1028,180571102011028
"Tipton, IN",87679,18,057,110201,1036,180571102011036
"Tipton, IN",87679,18,057,110201,1040,180571102011040
"Tipton, IN",87679,18,057,110201,1042,180571102011042
"Tipton, IN",87679,18,057,110201,1047,180571102011047
"Tipton, IN",87679,18,057,110201,1008,180571102011008
"Tipton, IN",87679,18,057,110201,1023,180571102011023
"Tipton, IN",87679,18,057,110201,1011,180571102011011
"Tipton, IN",87679,18,057,110201,1013,180571102011013
"Tipton, IN",87679,18,057,110201,1024,180571102011024
"Tipton, IN",87679,18,057,110201,1025,180571102011025
"Tipton, IN",87679,18,057,110201,1022,180571102011022
"Tipton, IN",87679,18,057,110201,1026,180571102011026
"Tipton, IN",87679,18,057,110201,1029,180571102011029
"Tipton, IN",87679,18,057,110201,1018,180571102011018
"Tipton, IN",87679,18,057,110201,1041,180571102011041
"Tipton, IN",87679,18,057,110201,1016,180571102011016
"Tipton, IN",87679,18,057,110201,1020,180571102011020
"Tipton, IN",87679,18,057,110201,1044,180571102011044
"Tipton, IN",87679,18,057,110201,1033,180571102011033
"Tipton, IN",87679,18,057,110201,1002,180571102011002
"Tipton, IN",87679,18,057,110201,1007,180571102011007
"Tipton, IN",87679,18,057,110201,2050,180571102012050
"Tipton, IN",87679,18,057,110201,1035,180571102011035
"Tipton, IN",87679,18,057,110201,1004,180571102011004
"Tipton, IN",87679,18,057,110201,1005,180571102011005
"Tipton, IN",87679,18,057,110201,1009,180571102011009
"Tipton, IN",87679,18,057,110201,1019,180571102011019
"Tipton, IN",87679,18,057,110201,1030,180571102011030
"Tipton, IN",87679,18,057,110201,1031,180571102011031
"Tipton, IN",87679,18,057,110201,1027,180571102011027
"Tipton, IN",87679,18,057,110201,1032,180571102011032
"Tipton, IN",87679,18,057,110201,1043,180571102011043
"Tipton, IN",87679,18,057,110201,1014,180571102011014
"Tipton, IN",87679,18,057,110201,1003,180571102011003
"Tipton, IN",87679,18,159,020400,5046,181590204005046
"Tipton, IN",87679,18,159,020400,1042,181590204001042
"Tipton, IN",87679,18,159,020400,3024,181590204003024
"Tipton, IN",87679,18,159,020400,3038,181590204003038
"Tipton, IN",87679,18,159,020400,7000,181590204007000
"Tipton, IN",87679,18,159,020400,7002,181590204007002
"Tipton, IN",87679,18,159,020400,7007,181590204007007
"Tipton, IN",87679,18,159,020400,2034,181590204002034
"Tipton, IN",87679,18,159,020400,2038,181590204002038
"Tipton, IN",87679,18,159,020400,7009,181590204007009
"Tipton, IN",87679,18,159,020400,1077,181590204001077
"Tipton, IN",87679,18,159,020400,2049,181590204002049
"Tipton, IN",87679,18,159,020400,2047,181590204002047
"Tipton, IN",87679,18,159,020400,3022,181590204003022
"Tipton, IN",87679,18,159,020400,3035,181590204003035
"Tipton, IN",87679,18,159,020400,2026,181590204002026
"Tipton, IN",87679,18,159,020400,1072,181590204001072
"Tipton, IN",87679,18,159,020400,2071,181590204002071
"Tipton, IN",87679,18,159,020400,3011,181590204003011
"Tipton, IN",87679,18,159,020400,3009,181590204003009
