ua_name,ua_id,state,county,tract,block,block_geoid
"Monte Vista, CO",58546,08,105,976700,1046,081059767001046
"Monte Vista, CO",58546,08,105,976700,2049,081059767002049
"Monte Vista, CO",58546,08,105,976700,4101,081059767004101
"Monte Vista, CO",58546,08,105,976700,1043,081059767001043
"Monte Vista, CO",58546,08,105,976700,2012,081059767002012
"Monte Vista, CO",58546,08,105,976700,1045,081059767001045
"Monte Vista, CO",58546,08,105,976700,2044,081059767002044
"Monte Vista, CO",58546,08,105,976700,3061,081059767003061
"Monte Vista, CO",58546,08,105,976700,3102,081059767003102
"Monte Vista, CO",58546,08,105,976700,2031,081059767002031
"Monte Vista, CO",58546,08,105,976700,2035,081059767002035
"Monte Vista, CO",58546,08,105,976700,4059,081059767004059
"Monte Vista, CO",58546,08,105,976700,3106,081059767003106
"Monte Vista, CO",58546,08,105,976700,3052,081059767003052
"Monte Vista, CO",58546,08,105,976700,3056,081059767003056
"Monte Vista, CO",58546,08,105,976700,3070,081059767003070
"Monte Vista, CO",58546,08,105,976700,2053,081059767002053
"Monte Vista, CO",58546,08,105,976700,4069,081059767004069
"Monte Vista, CO",58546,08,105,976700,3085,081059767003085
"Monte Vista, CO",58546,08,105,976700,4042,081059767004042
"Monte Vista, CO",58546,08,105,976700,3029,081059767003029
"Monte Vista, CO",58546,08,105,976700,3088,081059767003088
"Monte Vista, CO",58546,08,105,976700,3034,081059767003034
"Monte Vista, CO",58546,08,105,976700,3038,081059767003038
"Monte Vista, CO",58546,08,105,976700,4085,081059767004085
"Monte Vista, CO",58546,08,105,976700,4083,081059767004083
"Monte Vista, CO",58546,08,105,976700,4090,081059767004090
"Monte Vista, CO",58546,08,105,976700,2013,081059767002013
"Monte Vista, CO",58546,08,105,976700,3017,081059767003017
"Monte Vista, CO",58546,08,105,976700,4051,081059767004051
"Monte Vista, CO",58546,08,105,976700,4011,081059767004011
"Monte Vista, CO",58546,08,105,976700,2042,081059767002042
"Monte Vista, CO",58546,08,105,976700,2068,081059767002068
"Monte Vista, CO",58546,08,105,976700,4068,081059767004068
"Monte Vista, CO",58546,08,105,976700,1042,081059767001042
"Monte Vista, CO",58546,08,105,976700,2066,081059767002066
"Monte Vista, CO",58546,08,105,976700,4105,081059767004105
"Monte Vista, CO",58546,08,105,976700,4038,081059767004038
"Monte Vista, CO",58546,08,105,976700,3089,081059767003089
"Monte Vista, CO",58546,08,105,976700,3005,081059767003005
"Monte Vista, CO",58546,08,105,976700,3042,081059767003042
"Monte Vista, CO",58546,08,105,976700,3068,081059767003068
"Monte Vista, CO",58546,08,105,976700,3050,081059767003050
"Monte Vista, CO",58546,08,105,976700,1034,081059767001034
"Monte Vista, CO",58546,08,105,976700,3083,081059767003083
"Monte Vista, CO",58546,08,105,976700,3100,081059767003100
