ua_name,ua_id,state,county,tract,block,block_geoid
"Meridian, MS",56305,28,075,010700,1056,280750107001056
"Meridian, MS",56305,28,075,010700,1078,280750107001078
"Meridian, MS",56305,28,075,010201,4154,280750102014154
"Meridian, MS",56305,28,075,010600,4073,280750106004073
"Meridian, MS",56305,28,075,010700,1106,280750107001106
"Meridian, MS",56305,28,075,010700,1087,280750107001087
"Meridian, MS",56305,28,075,010600,4187,280750106004187
"Meridian, MS",56305,28,075,010600,4181,280750106004181
"Meridian, MS",56305,28,075,010600,4186,280750106004186
"Meridian, MS",56305,28,075,010600,4159,280750106004159
"Meridian, MS",56305,28,075,010500,1012,280750105001012
"Meridian, MS",56305,28,075,000900,2026,280750009002026
"Meridian, MS",56305,28,075,000900,3000,280750009003000
"Meridian, MS",56305,28,075,000900,3001,280750009003001
"Meridian, MS",56305,28,075,001000,3011,280750010003011
"Meridian, MS",56305,28,075,001000,4010,280750010004010
"Meridian, MS",56305,28,075,000300,1004,280750003001004
"Meridian, MS",56305,28,075,000900,3009,280750009003009
"Meridian, MS",56305,28,075,000900,4002,280750009004002
"Meridian, MS",56305,28,075,000900,3014,280750009003014
"Meridian, MS",56305,28,075,000900,3008,280750009003008
"Meridian, MS",56305,28,075,000900,3016,280750009003016
"Meridian, MS",56305,28,075,000900,4001,280750009004001
"Meridian, MS",56305,28,075,010302,3073,280750103023073
"Meridian, MS",56305,28,075,010700,1077,280750107001077
"Meridian, MS",56305,28,075,010201,4058,280750102014058
"Meridian, MS",56305,28,075,000400,4038,280750004004038
"Meridian, MS",56305,28,075,001000,1018,280750010001018
"Meridian, MS",56305,28,075,001000,2011,280750010002011
"Meridian, MS",56305,28,075,010302,3102,280750103023102
"Meridian, MS",56305,28,075,010302,3013,280750103023013
"Meridian, MS",56305,28,075,000900,2012,280750009002012
"Meridian, MS",56305,28,075,000300,1007,280750003001007
"Meridian, MS",56305,28,075,000900,1024,280750009001024
"Meridian, MS",56305,28,075,000900,1005,280750009001005
"Meridian, MS",56305,28,075,000900,2019,280750009002019
"Meridian, MS",56305,28,075,010500,1013,280750105001013
"Meridian, MS",56305,28,075,010700,1093,280750107001093
"Meridian, MS",56305,28,075,010600,4088,280750106004088
"Meridian, MS",56305,28,075,010700,1094,280750107001094
"Meridian, MS",56305,28,075,010201,4090,280750102014090
"Meridian, MS",56305,28,075,010201,4171,280750102014171
"Meridian, MS",56305,28,075,010700,1074,280750107001074
"Meridian, MS",56305,28,075,010700,1086,280750107001086
"Meridian, MS",56305,28,075,010600,4163,280750106004163
"Meridian, MS",56305,28,075,010600,4170,280750106004170
"Meridian, MS",56305,28,075,010700,1090,280750107001090
"Meridian, MS",56305,28,075,010500,1022,280750105001022
"Meridian, MS",56305,28,075,010700,1088,280750107001088
"Meridian, MS",56305,28,075,010600,4180,280750106004180
"Meridian, MS",56305,28,075,010600,4176,280750106004176
"Meridian, MS",56305,28,075,010600,4202,280750106004202
"Meridian, MS",56305,28,075,000900,2016,280750009002016
"Meridian, MS",56305,28,075,000900,2021,280750009002021
"Meridian, MS",56305,28,075,000300,1013,280750003001013
"Meridian, MS",56305,28,075,000900,4004,280750009004004
"Meridian, MS",56305,28,075,000900,4010,280750009004010
"Meridian, MS",56305,28,075,000900,4018,280750009004018
"Meridian, MS",56305,28,075,000800,1002,280750008001002
"Meridian, MS",56305,28,075,001000,2007,280750010002007
"Meridian, MS",56305,28,075,010700,1096,280750107001096
"Meridian, MS",56305,28,075,010700,1055,280750107001055
"Meridian, MS",56305,28,075,010600,4174,280750106004174
"Meridian, MS",56305,28,075,010600,4079,280750106004079
"Meridian, MS",56305,28,075,010500,1035,280750105001035
"Meridian, MS",56305,28,075,010500,1001,280750105001001
"Meridian, MS",56305,28,075,010201,4162,280750102014162
"Meridian, MS",56305,28,075,010500,2020,280750105002020
"Meridian, MS",56305,28,075,010500,1005,280750105001005
"Meridian, MS",56305,28,075,010202,5035,280750102025035
"Meridian, MS",56305,28,075,001000,4004,280750010004004
"Meridian, MS",56305,28,075,000400,1015,280750004001015
"Meridian, MS",56305,28,075,001101,1006,280750011011006
"Meridian, MS",56305,28,075,001101,1002,280750011011002
"Meridian, MS",56305,28,075,010302,3063,280750103023063
"Meridian, MS",56305,28,075,010700,1062,280750107001062
"Meridian, MS",56305,28,075,010201,4174,280750102014174
"Meridian, MS",56305,28,075,010201,4175,280750102014175
"Meridian, MS",56305,28,075,010600,4178,280750106004178
"Meridian, MS",56305,28,075,010202,5016,280750102025016
"Meridian, MS",56305,28,075,010202,5014,280750102025014
"Meridian, MS",56305,28,075,001101,2028,280750011012028
"Meridian, MS",56305,28,075,001101,1005,280750011011005
"Meridian, MS",56305,28,075,001000,4012,280750010004012
"Meridian, MS",56305,28,075,010600,4105,280750106004105
"Meridian, MS",56305,28,075,010201,4151,280750102014151
"Meridian, MS",56305,28,075,010302,3091,280750103023091
"Meridian, MS",56305,28,075,001000,1012,280750010001012
"Meridian, MS",56305,28,075,001000,2009,280750010002009
"Meridian, MS",56305,28,075,001000,2017,280750010002017
"Meridian, MS",56305,28,075,000400,1006,280750004001006
"Meridian, MS",56305,28,075,001102,1020,280750011021020
"Meridian, MS",56305,28,075,001102,3006,280750011023006
"Meridian, MS",56305,28,075,001102,2015,280750011022015
"Meridian, MS",56305,28,075,001102,3000,280750011023000
"Meridian, MS",56305,28,075,001101,2000,280750011012000
"Meridian, MS",56305,28,075,001101,4000,280750011014000
"Meridian, MS",56305,28,075,001000,2010,280750010002010
"Meridian, MS",56305,28,075,001000,3014,280750010003014
"Meridian, MS",56305,28,075,001000,3005,280750010003005
"Meridian, MS",56305,28,075,001000,4008,280750010004008
"Meridian, MS",56305,28,075,000900,1013,280750009001013
"Meridian, MS",56305,28,075,010302,3014,280750103023014
"Meridian, MS",56305,28,075,010302,3064,280750103023064
"Meridian, MS",56305,28,075,010302,3020,280750103023020
"Meridian, MS",56305,28,075,001102,3001,280750011023001
"Meridian, MS",56305,28,075,001102,2006,280750011022006
"Meridian, MS",56305,28,075,001102,2019,280750011022019
"Meridian, MS",56305,28,075,010700,1070,280750107001070
"Meridian, MS",56305,28,075,010600,4169,280750106004169
"Meridian, MS",56305,28,075,010201,4188,280750102014188
