ua_name,ua_id,state,county,tract,block,block_geoid
"Silt, CO",82023,08,045,951901,2185,080459519012185
"Silt, CO",82023,08,045,951901,2143,080459519012143
"Silt, CO",82023,08,045,951901,2224,080459519012224
"Silt, CO",82023,08,045,951901,2139,080459519012139
"Silt, CO",82023,08,045,951901,2241,080459519012241
"Silt, CO",82023,08,045,951901,2156,080459519012156
"Silt, CO",82023,08,045,951901,2113,080459519012113
"Silt, CO",82023,08,045,951901,2126,080459519012126
"Silt, CO",82023,08,045,951901,2123,080459519012123
"Silt, CO",82023,08,045,951901,2094,080459519012094
"Silt, CO",82023,08,045,951901,2231,080459519012231
"Silt, CO",82023,08,045,951901,2080,080459519012080
"Silt, CO",82023,08,045,951901,2199,080459519012199
"Silt, CO",82023,08,045,951901,2239,080459519012239
"Silt, CO",82023,08,045,951901,2141,080459519012141
"Silt, CO",82023,08,045,951901,2158,080459519012158
"Silt, CO",82023,08,045,951901,2162,080459519012162
"Silt, CO",82023,08,045,951901,2173,080459519012173
"Silt, CO",82023,08,045,951901,2171,080459519012171
"Silt, CO",82023,08,045,951901,2040,080459519012040
"Silt, CO",82023,08,045,951901,2090,080459519012090
"Silt, CO",82023,08,045,951901,2118,080459519012118
"Silt, CO",82023,08,045,951901,2131,080459519012131
"Silt, CO",82023,08,045,951901,2059,080459519012059
"Silt, CO",82023,08,045,951901,2214,080459519012214
"Silt, CO",82023,08,045,951901,2215,080459519012215
"Silt, CO",82023,08,045,951901,2182,080459519012182
"Silt, CO",82023,08,045,951901,2183,080459519012183
"Silt, CO",82023,08,045,951901,2140,080459519012140
"Silt, CO",82023,08,045,951901,2063,080459519012063
"Silt, CO",82023,08,045,951901,2151,080459519012151
"Silt, CO",82023,08,045,951901,2120,080459519012120
"Silt, CO",82023,08,045,951901,2077,080459519012077
"Silt, CO",82023,08,045,951901,2240,080459519012240
"Silt, CO",82023,08,045,951901,2200,080459519012200
"Silt, CO",82023,08,045,951901,2167,080459519012167
"Silt, CO",82023,08,045,951901,2133,080459519012133
"Silt, CO",82023,08,045,951901,2142,080459519012142
"Silt, CO",82023,08,045,951901,2184,080459519012184
"Silt, CO",82023,08,045,951901,2154,080459519012154
"Silt, CO",82023,08,045,951901,2227,080459519012227
"Silt, CO",82023,08,045,951901,2166,080459519012166
"Silt, CO",82023,08,045,951901,2161,080459519012161
"Silt, CO",82023,08,045,951901,2111,080459519012111
"Silt, CO",82023,08,045,951901,2112,080459519012112
"Silt, CO",82023,08,045,951901,2137,080459519012137
"Silt, CO",82023,08,045,951901,2153,080459519012153
"Silt, CO",82023,08,045,951901,2188,080459519012188
"Silt, CO",82023,08,045,951901,2213,080459519012213
"Silt, CO",82023,08,045,951901,2132,080459519012132
"Silt, CO",82023,08,045,951901,2138,080459519012138
"Silt, CO",82023,08,045,951901,2229,080459519012229
"Silt, CO",82023,08,045,951901,2104,080459519012104
"Silt, CO",82023,08,045,951901,2052,080459519012052
"Silt, CO",82023,08,045,951901,2177,080459519012177
"Silt, CO",82023,08,045,951901,2109,080459519012109
"Silt, CO",82023,08,045,951901,2160,080459519012160
"Silt, CO",82023,08,045,951901,2147,080459519012147
"Silt, CO",82023,08,045,951901,2146,080459519012146
"Silt, CO",82023,08,045,951901,2155,080459519012155
"Silt, CO",82023,08,045,951901,2135,080459519012135
"Silt, CO",82023,08,045,951901,2098,080459519012098
"Silt, CO",82023,08,045,951901,2116,080459519012116
"Silt, CO",82023,08,045,951901,2101,080459519012101
"Silt, CO",82023,08,045,951901,2130,080459519012130
"Silt, CO",82023,08,045,951901,2105,080459519012105
"Silt, CO",82023,08,045,951901,2096,080459519012096
"Silt, CO",82023,08,045,951901,2065,080459519012065
"Silt, CO",82023,08,045,951901,2193,080459519012193
"Silt, CO",82023,08,045,951901,2192,080459519012192
"Silt, CO",82023,08,045,951901,2211,080459519012211
"Silt, CO",82023,08,045,951901,2221,080459519012221
"Silt, CO",82023,08,045,951901,2194,080459519012194
"Silt, CO",82023,08,045,951901,2074,080459519012074
"Silt, CO",82023,08,045,951901,2152,080459519012152
"Silt, CO",82023,08,045,951901,2089,080459519012089
"Silt, CO",82023,08,045,951901,2081,080459519012081
"Silt, CO",82023,08,045,951901,2062,080459519012062
"Silt, CO",82023,08,045,951901,2107,080459519012107
"Silt, CO",82023,08,045,951901,2157,080459519012157
"Silt, CO",82023,08,045,951901,2029,080459519012029
"Silt, CO",82023,08,045,951901,2121,080459519012121
"Silt, CO",82023,08,045,951901,2230,080459519012230
"Silt, CO",82023,08,045,951901,2031,080459519012031
"Silt, CO",82023,08,045,951901,2064,080459519012064
"Silt, CO",82023,08,045,951901,2237,080459519012237
"Silt, CO",82023,08,045,951901,2144,080459519012144
"Silt, CO",82023,08,045,951901,2124,080459519012124
"Silt, CO",82023,08,045,951901,2057,080459519012057
"Silt, CO",82023,08,045,951901,2055,080459519012055
"Silt, CO",82023,08,045,951901,2091,080459519012091
"Silt, CO",82023,08,045,951901,2236,080459519012236
"Silt, CO",82023,08,045,951901,2099,080459519012099
"Silt, CO",82023,08,045,951901,2128,080459519012128
"Silt, CO",82023,08,045,951901,2186,080459519012186
"Silt, CO",82023,08,045,951901,2187,080459519012187
"Silt, CO",82023,08,045,951901,2203,080459519012203
"Silt, CO",82023,08,045,951901,2163,080459519012163
"Silt, CO",82023,08,045,951901,2150,080459519012150
"Silt, CO",82023,08,045,951901,2061,080459519012061
"Silt, CO",82023,08,045,951901,2093,080459519012093
"Silt, CO",82023,08,045,951901,2127,080459519012127
"Silt, CO",82023,08,045,951901,2044,080459519012044
"Silt, CO",82023,08,045,951901,2226,080459519012226
"Silt, CO",82023,08,045,951901,2191,080459519012191
"Silt, CO",82023,08,045,951901,2174,080459519012174
"Silt, CO",82023,08,045,951901,2149,080459519012149
"Silt, CO",82023,08,045,951901,2100,080459519012100
"Silt, CO",82023,08,045,951901,2164,080459519012164
"Silt, CO",82023,08,045,951901,2076,080459519012076
