ua_name,ua_id,state,county,tract,block,block_geoid
"Discovery Bay, CA",24256,06,013,304003,1019,060133040031019
"Discovery Bay, CA",24256,06,013,304004,2007,060133040042007
"Discovery Bay, CA",24256,06,013,304004,1014,060133040041014
"Discovery Bay, CA",24256,06,013,304004,2012,060133040042012
"Discovery Bay, CA",24256,06,013,304004,2001,060133040042001
"Discovery Bay, CA",24256,06,013,304005,2161,060133040052161
"Discovery Bay, CA",24256,06,013,304005,2136,060133040052136
"Discovery Bay, CA",24256,06,013,304005,2132,060133040052132
"Discovery Bay, CA",24256,06,013,304002,1046,060133040021046
"Discovery Bay, CA",24256,06,013,304004,1002,060133040041002
"Discovery Bay, CA",24256,06,013,304003,1008,060133040031008
"Discovery Bay, CA",24256,06,013,304002,1066,060133040021066
"Discovery Bay, CA",24256,06,013,304004,1000,060133040041000
"Discovery Bay, CA",24256,06,013,304005,1021,060133040051021
"Discovery Bay, CA",24256,06,013,304003,1016,060133040031016
"Discovery Bay, CA",24256,06,013,304004,1012,060133040041012
"Discovery Bay, CA",24256,06,013,304005,1040,060133040051040
"Discovery Bay, CA",24256,06,013,304004,2010,060133040042010
"Discovery Bay, CA",24256,06,013,304004,2009,060133040042009
"Discovery Bay, CA",24256,06,013,304005,1049,060133040051049
"Discovery Bay, CA",24256,06,013,304005,1009,060133040051009
"Discovery Bay, CA",24256,06,013,304004,1013,060133040041013
"Discovery Bay, CA",24256,06,013,304003,2003,060133040032003
"Discovery Bay, CA",24256,06,013,304004,2003,060133040042003
"Discovery Bay, CA",24256,06,013,304002,1074,060133040021074
"Discovery Bay, CA",24256,06,013,304005,1025,060133040051025
"Discovery Bay, CA",24256,06,013,304003,1007,060133040031007
"Discovery Bay, CA",24256,06,013,304004,1017,060133040041017
"Discovery Bay, CA",24256,06,013,304004,1015,060133040041015
"Discovery Bay, CA",24256,06,013,304003,1000,060133040031000
"Discovery Bay, CA",24256,06,013,304004,2002,060133040042002
"Discovery Bay, CA",24256,06,013,304004,2023,060133040042023
"Discovery Bay, CA",24256,06,013,304003,1001,060133040031001
"Discovery Bay, CA",24256,06,013,304004,1005,060133040041005
"Discovery Bay, CA",24256,06,013,304005,2135,060133040052135
"Discovery Bay, CA",24256,06,013,304005,2137,060133040052137
"Discovery Bay, CA",24256,06,013,304003,3008,060133040033008
"Discovery Bay, CA",24256,06,013,304004,1025,060133040041025
"Discovery Bay, CA",24256,06,013,304004,1020,060133040041020
"Discovery Bay, CA",24256,06,013,304004,1019,060133040041019
"Discovery Bay, CA",24256,06,013,304002,1058,060133040021058
"Discovery Bay, CA",24256,06,013,304004,1029,060133040041029
"Discovery Bay, CA",24256,06,013,304005,2148,060133040052148
"Discovery Bay, CA",24256,06,013,304004,1027,060133040041027
"Discovery Bay, CA",24256,06,013,304005,2140,060133040052140
"Discovery Bay, CA",24256,06,013,304003,3005,060133040033005
"Discovery Bay, CA",24256,06,013,304005,1052,060133040051052
"Discovery Bay, CA",24256,06,013,304005,1041,060133040051041
"Discovery Bay, CA",24256,06,013,304005,2129,060133040052129
"Discovery Bay, CA",24256,06,013,304005,2171,060133040052171
"Discovery Bay, CA",24256,06,013,304003,1012,060133040031012
"Discovery Bay, CA",24256,06,013,304002,1010,060133040021010
"Discovery Bay, CA",24256,06,013,304005,1036,060133040051036
"Discovery Bay, CA",24256,06,013,304003,1011,060133040031011
"Discovery Bay, CA",24256,06,013,304003,1010,060133040031010
"Discovery Bay, CA",24256,06,013,304002,1065,060133040021065
"Discovery Bay, CA",24256,06,013,304005,1047,060133040051047
"Discovery Bay, CA",24256,06,013,304004,1008,060133040041008
"Discovery Bay, CA",24256,06,013,304004,1021,060133040041021
"Discovery Bay, CA",24256,06,013,304004,1028,060133040041028
"Discovery Bay, CA",24256,06,013,304005,2168,060133040052168
"Discovery Bay, CA",24256,06,013,304005,2164,060133040052164
"Discovery Bay, CA",24256,06,013,304005,2167,060133040052167
"Discovery Bay, CA",24256,06,013,304005,2149,060133040052149
"Discovery Bay, CA",24256,06,013,304004,1023,060133040041023
"Discovery Bay, CA",24256,06,013,304005,2170,060133040052170
"Discovery Bay, CA",24256,06,013,304005,2151,060133040052151
"Discovery Bay, CA",24256,06,013,304005,1001,060133040051001
"Discovery Bay, CA",24256,06,013,304005,1012,060133040051012
"Discovery Bay, CA",24256,06,013,304005,1048,060133040051048
"Discovery Bay, CA",24256,06,013,304003,3006,060133040033006
"Discovery Bay, CA",24256,06,013,304004,2008,060133040042008
"Discovery Bay, CA",24256,06,013,304004,2000,060133040042000
"Discovery Bay, CA",24256,06,013,304005,1023,060133040051023
"Discovery Bay, CA",24256,06,013,304004,1009,060133040041009
"Discovery Bay, CA",24256,06,013,304002,1014,060133040021014
"Discovery Bay, CA",24256,06,013,304004,2011,060133040042011
"Discovery Bay, CA",24256,06,013,304004,2004,060133040042004
"Discovery Bay, CA",24256,06,013,304002,1020,060133040021020
"Discovery Bay, CA",24256,06,013,304004,2018,060133040042018
"Discovery Bay, CA",24256,06,013,304005,1016,060133040051016
"Discovery Bay, CA",24256,06,013,304005,2130,060133040052130
"Discovery Bay, CA",24256,06,013,304005,2134,060133040052134
"Discovery Bay, CA",24256,06,013,304005,2144,060133040052144
"Discovery Bay, CA",24256,06,013,304005,2131,060133040052131
"Discovery Bay, CA",24256,06,013,304005,2150,060133040052150
"Discovery Bay, CA",24256,06,013,304005,1014,060133040051014
"Discovery Bay, CA",24256,06,013,304005,1044,060133040051044
"Discovery Bay, CA",24256,06,013,304005,2162,060133040052162
"Discovery Bay, CA",24256,06,013,304004,1011,060133040041011
"Discovery Bay, CA",24256,06,013,304002,1021,060133040021021
"Discovery Bay, CA",24256,06,013,304003,1004,060133040031004
"Discovery Bay, CA",24256,06,013,304002,1062,060133040021062
"Discovery Bay, CA",24256,06,013,304005,1038,060133040051038
"Discovery Bay, CA",24256,06,013,304005,1034,060133040051034
"Discovery Bay, CA",24256,06,013,304005,1018,060133040051018
"Discovery Bay, CA",24256,06,013,304005,1043,060133040051043
"Discovery Bay, CA",24256,06,013,304005,1050,060133040051050
"Discovery Bay, CA",24256,06,013,304005,2142,060133040052142
"Discovery Bay, CA",24256,06,013,304005,2141,060133040052141
"Discovery Bay, CA",24256,06,013,304005,1039,060133040051039
"Discovery Bay, CA",24256,06,013,304003,2001,060133040032001
"Discovery Bay, CA",24256,06,013,304004,2017,060133040042017
"Discovery Bay, CA",24256,06,013,304005,1030,060133040051030
"Discovery Bay, CA",24256,06,013,304003,1005,060133040031005
"Discovery Bay, CA",24256,06,013,304005,2163,060133040052163
"Discovery Bay, CA",24256,06,013,304003,1018,060133040031018
"Discovery Bay, CA",24256,06,013,304004,1022,060133040041022
"Discovery Bay, CA",24256,06,013,304004,1026,060133040041026
"Discovery Bay, CA",24256,06,013,304005,1022,060133040051022
"Discovery Bay, CA",24256,06,013,304002,1011,060133040021011
"Discovery Bay, CA",24256,06,013,304004,1018,060133040041018
"Discovery Bay, CA",24256,06,013,304002,1064,060133040021064
"Discovery Bay, CA",24256,06,013,304003,3014,060133040033014
"Discovery Bay, CA",24256,06,013,304005,1031,060133040051031
"Discovery Bay, CA",24256,06,013,304005,2165,060133040052165
"Discovery Bay, CA",24256,06,013,304005,2158,060133040052158
"Discovery Bay, CA",24256,06,013,304005,1010,060133040051010
"Discovery Bay, CA",24256,06,013,304004,1004,060133040041004
"Discovery Bay, CA",24256,06,013,304003,1009,060133040031009
"Discovery Bay, CA",24256,06,013,304005,1042,060133040051042
"Discovery Bay, CA",24256,06,013,304005,1035,060133040051035
"Discovery Bay, CA",24256,06,013,304005,1024,060133040051024
"Discovery Bay, CA",24256,06,013,304002,1045,060133040021045
"Discovery Bay, CA",24256,06,013,304004,1007,060133040041007
"Discovery Bay, CA",24256,06,013,304004,2013,060133040042013
"Discovery Bay, CA",24256,06,013,304004,2006,060133040042006
"Discovery Bay, CA",24256,06,013,304004,1024,060133040041024
"Discovery Bay, CA",24256,06,013,304004,2014,060133040042014
"Discovery Bay, CA",24256,06,013,304005,2166,060133040052166
"Discovery Bay, CA",24256,06,013,304005,1037,060133040051037
"Discovery Bay, CA",24256,06,013,304005,2160,060133040052160
"Discovery Bay, CA",24256,06,013,304005,1004,060133040051004
"Discovery Bay, CA",24256,06,013,304005,2143,060133040052143
"Discovery Bay, CA",24256,06,013,304005,2139,060133040052139
"Discovery Bay, CA",24256,06,013,304004,2005,060133040042005
"Discovery Bay, CA",24256,06,013,304002,1026,060133040021026
"Discovery Bay, CA",24256,06,013,304004,2019,060133040042019
"Discovery Bay, CA",24256,06,013,304004,2015,060133040042015
"Discovery Bay, CA",24256,06,013,304005,1029,060133040051029
"Discovery Bay, CA",24256,06,013,304004,2021,060133040042021
"Discovery Bay, CA",24256,06,013,304005,1017,060133040051017
"Discovery Bay, CA",24256,06,013,304003,3013,060133040033013
"Discovery Bay, CA",24256,06,013,304005,1011,060133040051011
"Discovery Bay, CA",24256,06,013,304005,1015,060133040051015
"Discovery Bay, CA",24256,06,013,304005,2159,060133040052159
"Discovery Bay, CA",24256,06,013,304003,1020,060133040031020
"Discovery Bay, CA",24256,06,013,304003,1022,060133040031022
"Discovery Bay, CA",24256,06,013,304004,1003,060133040041003
"Discovery Bay, CA",24256,06,013,304003,2000,060133040032000
"Discovery Bay, CA",24256,06,013,304003,1003,060133040031003
"Discovery Bay, CA",24256,06,013,304002,1068,060133040021068
"Discovery Bay, CA",24256,06,013,304002,1075,060133040021075
"Discovery Bay, CA",24256,06,013,304003,1017,060133040031017
