ua_name,ua_id,state,county,tract,block,block_geoid
"Ocean Park, WA",64648,53,049,950800,1028,530499508001028
"Ocean Park, WA",64648,53,049,950700,2019,530499507002019
"Ocean Park, WA",64648,53,049,950700,1030,530499507001030
"Ocean Park, WA",64648,53,049,950800,2021,530499508002021
"Ocean Park, WA",64648,53,049,950700,2047,530499507002047
"Ocean Park, WA",64648,53,049,950700,1008,530499507001008
"Ocean Park, WA",64648,53,049,950700,2046,530499507002046
"Ocean Park, WA",64648,53,049,950700,1012,530499507001012
"Ocean Park, WA",64648,53,049,950700,2035,530499507002035
"Ocean Park, WA",64648,53,049,950800,1036,530499508001036
"Ocean Park, WA",64648,53,049,950800,1068,530499508001068
"Ocean Park, WA",64648,53,049,950700,1021,530499507001021
"Ocean Park, WA",64648,53,049,950800,1107,530499508001107
"Ocean Park, WA",64648,53,049,950800,2095,530499508002095
"Ocean Park, WA",64648,53,049,950800,2015,530499508002015
"Ocean Park, WA",64648,53,049,950800,2093,530499508002093
"Ocean Park, WA",64648,53,049,950800,2078,530499508002078
"Ocean Park, WA",64648,53,049,950800,2050,530499508002050
"Ocean Park, WA",64648,53,049,950800,2059,530499508002059
"Ocean Park, WA",64648,53,049,950800,1058,530499508001058
"Ocean Park, WA",64648,53,049,950800,1064,530499508001064
"Ocean Park, WA",64648,53,049,950800,1066,530499508001066
"Ocean Park, WA",64648,53,049,950800,1009,530499508001009
"Ocean Park, WA",64648,53,049,950800,1053,530499508001053
"Ocean Park, WA",64648,53,049,950800,2030,530499508002030
"Ocean Park, WA",64648,53,049,950800,2014,530499508002014
"Ocean Park, WA",64648,53,049,950800,2096,530499508002096
"Ocean Park, WA",64648,53,049,950800,2074,530499508002074
"Ocean Park, WA",64648,53,049,950800,1073,530499508001073
"Ocean Park, WA",64648,53,049,950800,1012,530499508001012
"Ocean Park, WA",64648,53,049,950700,1025,530499507001025
"Ocean Park, WA",64648,53,049,950800,2003,530499508002003
"Ocean Park, WA",64648,53,049,950800,1062,530499508001062
"Ocean Park, WA",64648,53,049,950800,1011,530499508001011
"Ocean Park, WA",64648,53,049,950800,1030,530499508001030
"Ocean Park, WA",64648,53,049,950700,2021,530499507002021
"Ocean Park, WA",64648,53,049,950800,1082,530499508001082
"Ocean Park, WA",64648,53,049,950800,2010,530499508002010
"Ocean Park, WA",64648,53,049,950700,1024,530499507001024
"Ocean Park, WA",64648,53,049,950800,1081,530499508001081
"Ocean Park, WA",64648,53,049,950700,2026,530499507002026
"Ocean Park, WA",64648,53,049,950800,1103,530499508001103
"Ocean Park, WA",64648,53,049,950800,1100,530499508001100
"Ocean Park, WA",64648,53,049,950800,2089,530499508002089
"Ocean Park, WA",64648,53,049,950700,1035,530499507001035
"Ocean Park, WA",64648,53,049,950700,1044,530499507001044
"Ocean Park, WA",64648,53,049,950800,2069,530499508002069
"Ocean Park, WA",64648,53,049,950700,2008,530499507002008
"Ocean Park, WA",64648,53,049,950800,2062,530499508002062
"Ocean Park, WA",64648,53,049,950700,1026,530499507001026
"Ocean Park, WA",64648,53,049,950800,1034,530499508001034
"Ocean Park, WA",64648,53,049,950800,1072,530499508001072
"Ocean Park, WA",64648,53,049,950800,2047,530499508002047
"Ocean Park, WA",64648,53,049,950800,2026,530499508002026
"Ocean Park, WA",64648,53,049,950800,2055,530499508002055
"Ocean Park, WA",64648,53,049,950800,1092,530499508001092
"Ocean Park, WA",64648,53,049,950800,1008,530499508001008
"Ocean Park, WA",64648,53,049,950800,1075,530499508001075
"Ocean Park, WA",64648,53,049,950800,1084,530499508001084
"Ocean Park, WA",64648,53,049,950800,2002,530499508002002
"Ocean Park, WA",64648,53,049,950700,1019,530499507001019
"Ocean Park, WA",64648,53,049,950700,2044,530499507002044
"Ocean Park, WA",64648,53,049,950700,2027,530499507002027
"Ocean Park, WA",64648,53,049,950800,1101,530499508001101
"Ocean Park, WA",64648,53,049,950700,2006,530499507002006
"Ocean Park, WA",64648,53,049,950800,2084,530499508002084
"Ocean Park, WA",64648,53,049,950700,2045,530499507002045
"Ocean Park, WA",64648,53,049,950800,2088,530499508002088
"Ocean Park, WA",64648,53,049,950700,1031,530499507001031
"Ocean Park, WA",64648,53,049,950800,2005,530499508002005
"Ocean Park, WA",64648,53,049,950700,1011,530499507001011
"Ocean Park, WA",64648,53,049,950800,2012,530499508002012
"Ocean Park, WA",64648,53,049,950800,2081,530499508002081
"Ocean Park, WA",64648,53,049,950800,2060,530499508002060
"Ocean Park, WA",64648,53,049,950800,2042,530499508002042
"Ocean Park, WA",64648,53,049,950800,2051,530499508002051
"Ocean Park, WA",64648,53,049,950800,2043,530499508002043
"Ocean Park, WA",64648,53,049,950800,2053,530499508002053
"Ocean Park, WA",64648,53,049,950800,2046,530499508002046
"Ocean Park, WA",64648,53,049,950800,2092,530499508002092
"Ocean Park, WA",64648,53,049,950700,1039,530499507001039
"Ocean Park, WA",64648,53,049,950700,1045,530499507001045
"Ocean Park, WA",64648,53,049,950700,2033,530499507002033
"Ocean Park, WA",64648,53,049,950800,2071,530499508002071
"Ocean Park, WA",64648,53,049,950800,2038,530499508002038
"Ocean Park, WA",64648,53,049,950800,2035,530499508002035
"Ocean Park, WA",64648,53,049,950800,2022,530499508002022
"Ocean Park, WA",64648,53,049,950800,2025,530499508002025
"Ocean Park, WA",64648,53,049,950800,2027,530499508002027
"Ocean Park, WA",64648,53,049,950800,2063,530499508002063
"Ocean Park, WA",64648,53,049,950800,2045,530499508002045
"Ocean Park, WA",64648,53,049,950800,2056,530499508002056
"Ocean Park, WA",64648,53,049,950800,1055,530499508001055
"Ocean Park, WA",64648,53,049,950800,1016,530499508001016
"Ocean Park, WA",64648,53,049,950800,1048,530499508001048
"Ocean Park, WA",64648,53,049,950800,1099,530499508001099
"Ocean Park, WA",64648,53,049,950700,2034,530499507002034
"Ocean Park, WA",64648,53,049,950800,2004,530499508002004
"Ocean Park, WA",64648,53,049,950800,1094,530499508001094
"Ocean Park, WA",64648,53,049,950800,1006,530499508001006
"Ocean Park, WA",64648,53,049,950800,1050,530499508001050
"Ocean Park, WA",64648,53,049,950700,2014,530499507002014
"Ocean Park, WA",64648,53,049,950700,2023,530499507002023
"Ocean Park, WA",64648,53,049,950800,2097,530499508002097
"Ocean Park, WA",64648,53,049,950800,2086,530499508002086
"Ocean Park, WA",64648,53,049,950700,2012,530499507002012
"Ocean Park, WA",64648,53,049,950800,1096,530499508001096
"Ocean Park, WA",64648,53,049,950700,2022,530499507002022
"Ocean Park, WA",64648,53,049,950700,2013,530499507002013
"Ocean Park, WA",64648,53,049,950700,2041,530499507002041
"Ocean Park, WA",64648,53,049,950700,2025,530499507002025
"Ocean Park, WA",64648,53,049,950800,2091,530499508002091
"Ocean Park, WA",64648,53,049,950800,1089,530499508001089
"Ocean Park, WA",64648,53,049,950800,1061,530499508001061
"Ocean Park, WA",64648,53,049,950800,1056,530499508001056
"Ocean Park, WA",64648,53,049,950800,1080,530499508001080
"Ocean Park, WA",64648,53,049,950800,1010,530499508001010
