ua_name,ua_id,state,county,tract,block,block_geoid
"El Paso, TX--NM",27253,35,013,001701,2034,350130017012034
"El Paso, TX--NM",27253,35,013,001701,2027,350130017012027
"El Paso, TX--NM",27253,35,013,001701,2005,350130017012005
"El Paso, TX--NM",27253,35,013,001701,2013,350130017012013
"El Paso, TX--NM",27253,35,013,001701,1230,350130017011230
"El Paso, TX--NM",27253,35,013,001701,1222,350130017011222
"El Paso, TX--NM",27253,35,013,001705,2024,350130017052024
"El Paso, TX--NM",27253,35,013,001707,1016,350130017071016
"El Paso, TX--NM",27253,35,013,001705,2022,350130017052022
"El Paso, TX--NM",27253,35,013,001705,2023,350130017052023
"El Paso, TX--NM",27253,35,013,001706,2025,350130017062025
"El Paso, TX--NM",27253,35,013,001701,1211,350130017011211
"El Paso, TX--NM",27253,35,013,001802,2091,350130018022091
"El Paso, TX--NM",27253,35,013,001802,2107,350130018022107
"El Paso, TX--NM",27253,35,013,001802,2112,350130018022112
"El Paso, TX--NM",27253,35,013,001802,2169,350130018022169
"El Paso, TX--NM",27253,35,013,001805,2021,350130018052021
"El Paso, TX--NM",27253,35,013,001701,2001,350130017012001
"El Paso, TX--NM",27253,35,013,001701,1188,350130017011188
"El Paso, TX--NM",27253,35,013,001802,2139,350130018022139
"El Paso, TX--NM",27253,35,013,001806,1045,350130018061045
"El Paso, TX--NM",27253,35,013,001802,2087,350130018022087
"El Paso, TX--NM",27253,35,013,001802,2098,350130018022098
"El Paso, TX--NM",27253,35,013,001802,2104,350130018022104
"El Paso, TX--NM",27253,35,013,001806,1017,350130018061017
"El Paso, TX--NM",27253,35,013,001806,1055,350130018061055
"El Paso, TX--NM",27253,35,013,001806,2032,350130018062032
"El Paso, TX--NM",27253,35,013,001805,2007,350130018052007
"El Paso, TX--NM",27253,35,013,001805,1020,350130018051020
"El Paso, TX--NM",27253,35,013,001805,2006,350130018052006
"El Paso, TX--NM",27253,35,013,001806,2015,350130018062015
"El Paso, TX--NM",27253,35,013,001805,1028,350130018051028
"El Paso, TX--NM",27253,35,013,001805,1027,350130018051027
"El Paso, TX--NM",27253,35,013,001806,2044,350130018062044
"El Paso, TX--NM",27253,35,013,001805,1035,350130018051035
"El Paso, TX--NM",27253,35,013,001701,2033,350130017012033
"El Paso, TX--NM",27253,35,013,001701,1170,350130017011170
"El Paso, TX--NM",27253,35,013,001705,2019,350130017052019
"El Paso, TX--NM",27253,35,013,001701,2036,350130017012036
"El Paso, TX--NM",27253,35,013,001805,1047,350130018051047
"El Paso, TX--NM",27253,35,013,001805,1048,350130018051048
"El Paso, TX--NM",27253,35,013,001806,2060,350130018062060
"El Paso, TX--NM",27253,35,013,001802,2166,350130018022166
"El Paso, TX--NM",27253,35,013,001805,1018,350130018051018
"El Paso, TX--NM",27253,35,013,001806,2051,350130018062051
"El Paso, TX--NM",27253,35,013,001806,2055,350130018062055
"El Paso, TX--NM",27253,35,013,001705,2006,350130017052006
"El Paso, TX--NM",27253,35,013,001705,1025,350130017051025
"El Paso, TX--NM",27253,35,013,001705,2026,350130017052026
"El Paso, TX--NM",27253,35,013,001707,1019,350130017071019
"El Paso, TX--NM",27253,35,013,001806,2026,350130018062026
