ua_name,ua_id,state,county,tract,block,block_geoid
"New Castle, IN",62137,18,065,976500,3022,180659765003022
"New Castle, IN",62137,18,065,976400,1038,180659764001038
"New Castle, IN",62137,18,065,976500,3033,180659765003033
"New Castle, IN",62137,18,065,976600,1017,180659766001017
"New Castle, IN",62137,18,065,976000,4007,180659760004007
"New Castle, IN",62137,18,065,976500,2006,180659765002006
"New Castle, IN",62137,18,065,976500,3030,180659765003030
"New Castle, IN",62137,18,065,976500,3037,180659765003037
"New Castle, IN",62137,18,065,975900,1060,180659759001060
"New Castle, IN",62137,18,065,976100,1071,180659761001071
"New Castle, IN",62137,18,065,976400,1027,180659764001027
"New Castle, IN",62137,18,065,976400,1037,180659764001037
"New Castle, IN",62137,18,065,976100,1011,180659761001011
"New Castle, IN",62137,18,065,975900,3021,180659759003021
"New Castle, IN",62137,18,065,975900,1071,180659759001071
"New Castle, IN",62137,18,065,975900,1050,180659759001050
"New Castle, IN",62137,18,065,976600,2012,180659766002012
"New Castle, IN",62137,18,065,976400,4001,180659764004001
"New Castle, IN",62137,18,065,975500,3039,180659755003039
"New Castle, IN",62137,18,065,976100,1065,180659761001065
"New Castle, IN",62137,18,065,976600,1022,180659766001022
"New Castle, IN",62137,18,065,976400,1051,180659764001051
"New Castle, IN",62137,18,065,976000,2040,180659760002040
"New Castle, IN",62137,18,065,976300,1005,180659763001005
"New Castle, IN",62137,18,065,976300,1016,180659763001016
"New Castle, IN",62137,18,065,976500,2036,180659765002036
"New Castle, IN",62137,18,065,976600,1003,180659766001003
"New Castle, IN",62137,18,065,976500,3001,180659765003001
"New Castle, IN",62137,18,065,976100,1118,180659761001118
"New Castle, IN",62137,18,065,976100,1089,180659761001089
"New Castle, IN",62137,18,065,976300,1027,180659763001027
"New Castle, IN",62137,18,065,976000,2026,180659760002026
"New Castle, IN",62137,18,065,976000,2039,180659760002039
"New Castle, IN",62137,18,065,976600,2018,180659766002018
"New Castle, IN",62137,18,065,976400,1025,180659764001025
"New Castle, IN",62137,18,065,976400,1024,180659764001024
"New Castle, IN",62137,18,065,976300,1040,180659763001040
"New Castle, IN",62137,18,065,976100,1050,180659761001050
"New Castle, IN",62137,18,065,976100,1053,180659761001053
"New Castle, IN",62137,18,065,976400,1065,180659764001065
"New Castle, IN",62137,18,065,976500,1012,180659765001012
"New Castle, IN",62137,18,065,976300,1008,180659763001008
"New Castle, IN",62137,18,065,976500,1016,180659765001016
"New Castle, IN",62137,18,065,976100,1079,180659761001079
"New Castle, IN",62137,18,065,976000,4025,180659760004025
"New Castle, IN",62137,18,065,976400,4042,180659764004042
"New Castle, IN",62137,18,065,976400,4038,180659764004038
"New Castle, IN",62137,18,065,976500,3025,180659765003025
"New Castle, IN",62137,18,065,975900,3018,180659759003018
"New Castle, IN",62137,18,065,976500,1037,180659765001037
"New Castle, IN",62137,18,065,976000,1036,180659760001036
"New Castle, IN",62137,18,065,976000,1038,180659760001038
"New Castle, IN",62137,18,065,976000,1045,180659760001045
"New Castle, IN",62137,18,065,976300,2018,180659763002018
"New Castle, IN",62137,18,065,976100,1042,180659761001042
"New Castle, IN",62137,18,065,976100,1074,180659761001074
"New Castle, IN",62137,18,065,976100,1086,180659761001086
"New Castle, IN",62137,18,065,976000,2020,180659760002020
"New Castle, IN",62137,18,065,976100,1113,180659761001113
"New Castle, IN",62137,18,065,976000,2036,180659760002036
"New Castle, IN",62137,18,065,975900,1070,180659759001070
"New Castle, IN",62137,18,065,976000,1034,180659760001034
"New Castle, IN",62137,18,065,976000,1030,180659760001030
"New Castle, IN",62137,18,065,976000,2005,180659760002005
"New Castle, IN",62137,18,065,976000,3001,180659760003001
"New Castle, IN",62137,18,065,976300,2051,180659763002051
"New Castle, IN",62137,18,065,976300,1004,180659763001004
"New Castle, IN",62137,18,065,976300,1001,180659763001001
"New Castle, IN",62137,18,065,976100,2000,180659761002000
"New Castle, IN",62137,18,065,976100,1125,180659761001125
"New Castle, IN",62137,18,065,976100,2021,180659761002021
"New Castle, IN",62137,18,065,976100,2007,180659761002007
"New Castle, IN",62137,18,065,975900,3039,180659759003039
"New Castle, IN",62137,18,065,976400,4016,180659764004016
"New Castle, IN",62137,18,065,976500,1055,180659765001055
"New Castle, IN",62137,18,065,976100,1021,180659761001021
"New Castle, IN",62137,18,065,976100,2015,180659761002015
"New Castle, IN",62137,18,065,976100,1016,180659761001016
"New Castle, IN",62137,18,065,976100,1115,180659761001115
"New Castle, IN",62137,18,065,976000,2013,180659760002013
"New Castle, IN",62137,18,065,976400,4052,180659764004052
"New Castle, IN",62137,18,065,976400,4012,180659764004012
"New Castle, IN",62137,18,065,976600,2022,180659766002022
"New Castle, IN",62137,18,065,976400,1062,180659764001062
"New Castle, IN",62137,18,065,976500,2004,180659765002004
"New Castle, IN",62137,18,065,976500,2002,180659765002002
"New Castle, IN",62137,18,065,976600,1023,180659766001023
"New Castle, IN",62137,18,065,976400,2026,180659764002026
"New Castle, IN",62137,18,065,976300,2046,180659763002046
