ua_name,ua_id,state,county,tract,block,block_geoid
"Marietta, OH--WV",54486,39,167,021100,1027,391670211001027
"Marietta, OH--WV",54486,39,167,020500,2008,391670205002008
"Marietta, OH--WV",54486,39,167,020500,2017,391670205002017
"Marietta, OH--WV",54486,39,167,020800,2006,391670208002006
"Marietta, OH--WV",54486,39,167,020800,1023,391670208001023
"Marietta, OH--WV",54486,39,167,020800,2000,391670208002000
"Marietta, OH--WV",54486,39,167,020800,2012,391670208002012
"Marietta, OH--WV",54486,39,167,020800,2028,391670208002028
"Marietta, OH--WV",54486,39,167,020500,1032,391670205001032
"Marietta, OH--WV",54486,39,167,020900,2005,391670209002005
"Marietta, OH--WV",54486,39,167,020900,2015,391670209002015
"Marietta, OH--WV",54486,39,167,020900,2002,391670209002002
"Marietta, OH--WV",54486,39,167,020900,1018,391670209001018
"Marietta, OH--WV",54486,39,167,020900,2003,391670209002003
"Marietta, OH--WV",54486,39,167,020900,1038,391670209001038
"Marietta, OH--WV",54486,39,167,021000,3018,391670210003018
"Marietta, OH--WV",54486,39,167,021000,1040,391670210001040
"Marietta, OH--WV",54486,39,167,020800,1000,391670208001000
"Marietta, OH--WV",54486,39,167,020500,1028,391670205001028
"Marietta, OH--WV",54486,39,167,020500,1031,391670205001031
"Marietta, OH--WV",54486,39,167,020400,1031,391670204001031
"Marietta, OH--WV",54486,39,167,020800,1020,391670208001020
"Marietta, OH--WV",54486,39,167,020500,1021,391670205001021
"Marietta, OH--WV",54486,39,167,020500,1041,391670205001041
"Marietta, OH--WV",54486,39,167,020500,1044,391670205001044
"Marietta, OH--WV",54486,39,167,020500,2034,391670205002034
"Marietta, OH--WV",54486,39,167,020400,1042,391670204001042
"Marietta, OH--WV",54486,39,167,021000,2024,391670210002024
"Marietta, OH--WV",54486,39,167,020900,1025,391670209001025
"Marietta, OH--WV",54486,39,167,021000,1039,391670210001039
"Marietta, OH--WV",54486,39,167,021000,1008,391670210001008
"Marietta, OH--WV",54486,39,167,020500,1007,391670205001007
"Marietta, OH--WV",54486,39,167,020900,1030,391670209001030
"Marietta, OH--WV",54486,39,167,020800,2005,391670208002005
"Marietta, OH--WV",54486,39,167,020800,2023,391670208002023
"Marietta, OH--WV",54486,39,167,020500,2005,391670205002005
"Marietta, OH--WV",54486,39,167,020900,2009,391670209002009
