ua_name,ua_id,state,county,tract,block,block_geoid,pop
"Mont Belvieu, TX",58428,48,71,710100,2022,480717101002022,29
"Mont Belvieu, TX",58428,48,71,710100,3067,480717101003067,0
"Mont Belvieu, TX",58428,48,71,710100,2013,480717101002013,28
"Mont Belvieu, TX",58428,48,71,710100,3080,480717101003080,4
"Mont Belvieu, TX",58428,48,71,710100,2016,480717101002016,13
"Mont Belvieu, TX",58428,48,71,710100,3046,480717101003046,8
"Mont Belvieu, TX",58428,48,71,710100,2043,480717101002043,58
"Mont Belvieu, TX",58428,48,71,710100,2044,480717101002044,42
"Mont Belvieu, TX",58428,48,71,710100,3083,480717101003083,1
"Mont Belvieu, TX",58428,48,71,710100,2011,480717101002011,27
"Mont Belvieu, TX",58428,48,71,710100,3032,480717101003032,8
"Mont Belvieu, TX",58428,48,71,710100,3061,480717101003061,0
"Mont Belvieu, TX",58428,48,71,710100,2050,480717101002050,70
"Mont Belvieu, TX",58428,48,71,710100,3033,480717101003033,35
"Mont Belvieu, TX",58428,48,71,710100,3025,480717101003025,3
"Mont Belvieu, TX",58428,48,71,710100,2009,480717101002009,15
"Mont Belvieu, TX",58428,48,71,710100,2047,480717101002047,32
"Mont Belvieu, TX",58428,48,71,710100,2026,480717101002026,0
"Mont Belvieu, TX",58428,48,71,710100,3026,480717101003026,59
"Mont Belvieu, TX",58428,48,71,710100,3023,480717101003023,26
"Mont Belvieu, TX",58428,48,71,710100,3063,480717101003063,0
"Mont Belvieu, TX",58428,48,71,710100,3027,480717101003027,71
"Mont Belvieu, TX",58428,48,71,710100,2001,480717101002001,1
"Mont Belvieu, TX",58428,48,71,710100,2012,480717101002012,103
"Mont Belvieu, TX",58428,48,71,710100,2004,480717101002004,253
"Mont Belvieu, TX",58428,48,71,710100,3062,480717101003062,0
"Mont Belvieu, TX",58428,48,71,710100,2008,480717101002008,91
"Mont Belvieu, TX",58428,48,71,710100,2046,480717101002046,52
"Mont Belvieu, TX",58428,48,71,710100,3045,480717101003045,0
"Mont Belvieu, TX",58428,48,71,710100,3019,480717101003019,32
"Mont Belvieu, TX",58428,48,71,710100,3028,480717101003028,30
"Mont Belvieu, TX",58428,48,71,710100,3057,480717101003057,0
"Mont Belvieu, TX",58428,48,71,710100,3022,480717101003022,9
"Mont Belvieu, TX",58428,48,71,710100,2015,480717101002015,73
"Mont Belvieu, TX",58428,48,71,710100,2005,480717101002005,28
"Mont Belvieu, TX",58428,48,71,710100,3047,480717101003047,0
"Mont Belvieu, TX",58428,48,71,710100,2020,480717101002020,42
"Mont Belvieu, TX",58428,48,71,710100,3039,480717101003039,3
"Mont Belvieu, TX",58428,48,71,710100,3029,480717101003029,361
"Mont Belvieu, TX",58428,48,71,710100,3016,480717101003016,4
"Mont Belvieu, TX",58428,48,71,710100,3031,480717101003031,93
"Mont Belvieu, TX",58428,48,71,710100,2002,480717101002002,49
"Mont Belvieu, TX",58428,48,71,710100,3058,480717101003058,131
"Mont Belvieu, TX",58428,48,71,710100,3076,480717101003076,11
"Mont Belvieu, TX",58428,48,71,710100,3071,480717101003071,4
"Mont Belvieu, TX",58428,48,71,710100,2049,480717101002049,48
"Mont Belvieu, TX",58428,48,71,710100,2045,480717101002045,29
"Mont Belvieu, TX",58428,48,71,710100,3024,480717101003024,3
"Mont Belvieu, TX",58428,48,71,710100,3056,480717101003056,0
"Mont Belvieu, TX",58428,48,71,710100,2010,480717101002010,24
"Mont Belvieu, TX",58428,48,71,710100,3060,480717101003060,48
"Mont Belvieu, TX",58428,48,71,710100,2018,480717101002018,26
"Mont Belvieu, TX",58428,48,71,710100,2048,480717101002048,32
"Mont Belvieu, TX",58428,48,71,710100,2014,480717101002014,19
"Mont Belvieu, TX",58428,48,71,710100,3055,480717101003055,121
"Mont Belvieu, TX",58428,48,71,710100,3014,480717101003014,7
"Mont Belvieu, TX",58428,48,71,710100,3044,480717101003044,9
"Mont Belvieu, TX",58428,48,71,710100,3078,480717101003078,1
"Mont Belvieu, TX",58428,48,71,710100,2000,480717101002000,4
"Mont Belvieu, TX",58428,48,71,710100,3030,480717101003030,0
"Mont Belvieu, TX",58428,48,71,710100,2019,480717101002019,18
"Mont Belvieu, TX",58428,48,71,710100,3054,480717101003054,0
"Mont Belvieu, TX",58428,48,71,710100,3084,480717101003084,9
"Mont Belvieu, TX",58428,48,71,710100,3064,480717101003064,12
"Mont Belvieu, TX",58428,48,71,710100,3053,480717101003053,11
"Mont Belvieu, TX",58428,48,71,710100,3037,480717101003037,6
"Mont Belvieu, TX",58428,48,71,710100,3021,480717101003021,14
"Mont Belvieu, TX",58428,48,71,710100,2007,480717101002007,70
"Mont Belvieu, TX",58428,48,291,701100,1026,482917011001026,20
"Mont Belvieu, TX",58428,48,291,701100,2039,482917011002039,0
"Mont Belvieu, TX",58428,48,291,701100,2055,482917011002055,133
"Mont Belvieu, TX",58428,48,291,701100,1025,482917011001025,44
"Mont Belvieu, TX",58428,48,291,701100,2036,482917011002036,240
"Mont Belvieu, TX",58428,48,291,701100,2054,482917011002054,8
"Mont Belvieu, TX",58428,48,291,701100,2057,482917011002057,38
"Mont Belvieu, TX",58428,48,291,701100,2020,482917011002020,55
"Mont Belvieu, TX",58428,48,291,701100,1021,482917011001021,14
"Mont Belvieu, TX",58428,48,291,701100,2056,482917011002056,29
"Mont Belvieu, TX",58428,48,291,701100,2053,482917011002053,103
