ua_name,ua_id,state,county,tract,block,block_geoid,pop
"Salem, OR",78229,41,47,2101,2002,410470021012002,152
"Salem, OR",78229,41,47,1200,1043,410470012001043,151
"Salem, OR",78229,41,47,600,2005,410470006002005,15
"Salem, OR",78229,41,47,900,7001,410470009007001,58
"Salem, OR",78229,41,47,900,4006,410470009004006,0
"Salem, OR",78229,41,47,900,7006,410470009007006,49
"Salem, OR",78229,41,47,900,3016,410470009003016,42
"Salem, OR",78229,41,47,1000,1015,410470010001015,33
"Salem, OR",78229,41,47,1000,1017,410470010001017,36
"Salem, OR",78229,41,47,900,4016,410470009004016,22
"Salem, OR",78229,41,47,900,3014,410470009003014,42
"Salem, OR",78229,41,47,900,3022,410470009003022,33
"Salem, OR",78229,41,47,1000,1019,410470010001019,25
"Salem, OR",78229,41,47,1000,1025,410470010001025,28
"Salem, OR",78229,41,47,600,1015,410470006001015,36
"Salem, OR",78229,41,47,701,2029,410470007012029,45
"Salem, OR",78229,41,47,1100,2031,410470011002031,30
"Salem, OR",78229,41,47,2304,2004,410470023042004,143
"Salem, OR",78229,41,47,2304,3005,410470023043005,60
"Salem, OR",78229,41,47,2304,2005,410470023042005,32
"Salem, OR",78229,41,47,1604,3013,410470016043013,399
"Salem, OR",78229,41,47,2501,1037,410470025011037,4
"Salem, OR",78229,41,47,2501,1036,410470025011036,2
"Salem, OR",78229,41,47,1401,1041,410470014011041,0
"Salem, OR",78229,41,47,1802,1024,410470018021024,21
"Salem, OR",78229,41,47,1803,2051,410470018032051,351
"Salem, OR",78229,41,47,2304,3007,410470023043007,109
"Salem, OR",78229,41,47,2000,4008,410470020004008,23
"Salem, OR",78229,41,47,2102,1006,410470021021006,103
"Salem, OR",78229,41,47,1200,2029,410470012002029,0
"Salem, OR",78229,41,47,1200,2035,410470012002035,10
"Salem, OR",78229,41,47,1200,1053,410470012001053,32
"Salem, OR",78229,41,47,1200,2005,410470012002005,47
"Salem, OR",78229,41,47,1100,3001,410470011003001,58
"Salem, OR",78229,41,47,1100,3000,410470011003000,213
"Salem, OR",78229,41,47,1100,1018,410470011001018,56
"Salem, OR",78229,41,47,2202,3019,410470022023019,0
"Salem, OR",78229,41,47,2301,2002,410470023012002,634
"Salem, OR",78229,41,47,1601,2028,410470016012028,2
"Salem, OR",78229,41,47,300,2005,410470003002005,9
"Salem, OR",78229,41,47,1401,1005,410470014011005,2
"Salem, OR",78229,41,47,1401,1017,410470014011017,0
"Salem, OR",78229,41,47,2303,2006,410470023032006,54
"Salem, OR",78229,41,47,1402,1017,410470014021017,114
"Salem, OR",78229,41,47,2000,3019,410470020003019,81
"Salem, OR",78229,41,47,300,2011,410470003002011,13
"Salem, OR",78229,41,47,400,3021,410470004003021,14
"Salem, OR",78229,41,47,400,2012,410470004002012,0
"Salem, OR",78229,41,47,400,2005,410470004002005,3
"Salem, OR",78229,41,47,300,1001,410470003001001,0
"Salem, OR",78229,41,47,300,1028,410470003001028,130
"Salem, OR",78229,41,47,1502,2012,410470015022012,0
"Salem, OR",78229,41,47,1604,3016,410470016043016,164
"Salem, OR",78229,41,47,1702,2014,410470017022014,259
"Salem, OR",78229,41,47,300,1024,410470003001024,166
"Salem, OR",78229,41,47,2700,2021,410470027002021,5
"Salem, OR",78229,41,47,300,1030,410470003001030,51
"Salem, OR",78229,41,47,2501,3011,410470025013011,558
"Salem, OR",78229,41,47,300,1010,410470003001010,172
"Salem, OR",78229,41,47,300,1021,410470003001021,0
"Salem, OR",78229,41,47,300,1000,410470003001000,0
"Salem, OR",78229,41,47,1602,2003,410470016022003,0
"Salem, OR",78229,41,47,1601,1030,410470016011030,33
"Salem, OR",78229,41,47,1601,1033,410470016011033,59
"Salem, OR",78229,41,47,502,2006,410470005022006,154
"Salem, OR",78229,41,47,502,3004,410470005023004,133
"Salem, OR",78229,41,47,701,3016,410470007013016,0
"Salem, OR",78229,41,47,701,3004,410470007013004,8
"Salem, OR",78229,41,47,2502,2015,410470025022015,25
"Salem, OR",78229,41,47,2304,1006,410470023041006,184
"Salem, OR",78229,41,47,2102,4023,410470021024023,0
"Salem, OR",78229,41,47,2000,3007,410470020003007,45
"Salem, OR",78229,41,47,2304,4003,410470023044003,29
"Salem, OR",78229,41,47,2800,2001,410470028002001,22
"Salem, OR",78229,41,47,2800,2000,410470028002000,222
"Salem, OR",78229,41,47,1604,4016,410470016044016,18
"Salem, OR",78229,41,47,1703,3019,410470017033019,6
"Salem, OR",78229,41,47,1702,3017,410470017023017,27
"Salem, OR",78229,41,47,1702,3004,410470017023004,9
"Salem, OR",78229,41,47,1702,3009,410470017023009,0
"Salem, OR",78229,41,47,1701,3012,410470017013012,10
"Salem, OR",78229,41,47,1802,1036,410470018021036,0
"Salem, OR",78229,41,47,1802,1029,410470018021029,0
"Salem, OR",78229,41,47,1802,1035,410470018021035,0
"Salem, OR",78229,41,47,2000,3030,410470020003030,13
"Salem, OR",78229,41,47,1601,2051,410470016012051,19
"Salem, OR",78229,41,47,2304,1035,410470023041035,86
"Salem, OR",78229,41,47,2400,1028,410470024001028,0
"Salem, OR",78229,41,47,2202,1019,410470022021019,20
"Salem, OR",78229,41,47,2400,2098,410470024002098,10
"Salem, OR",78229,41,47,2400,2020,410470024002020,7
"Salem, OR",78229,41,47,2400,2094,410470024002094,0
"Salem, OR",78229,41,47,2800,2013,410470028002013,21
"Salem, OR",78229,41,47,1300,2040,410470013002040,18
"Salem, OR",78229,41,47,1503,1010,410470015031010,102
"Salem, OR",78229,41,47,1703,1009,410470017031009,0
"Salem, OR",78229,41,47,2000,2012,410470020002012,29
"Salem, OR",78229,41,47,300,3040,410470003003040,12
"Salem, OR",78229,41,47,1401,2024,410470014012024,12
"Salem, OR",78229,41,47,1501,2000,410470015012000,139
"Salem, OR",78229,41,47,2501,2020,410470025012020,32
"Salem, OR",78229,41,47,1501,2010,410470015012010,22
"Salem, OR",78229,41,47,1502,2007,410470015022007,41
"Salem, OR",78229,41,47,1502,1003,410470015021003,65
"Salem, OR",78229,41,47,2502,1108,410470025021108,0
"Salem, OR",78229,41,47,1502,2001,410470015022001,0
"Salem, OR",78229,41,47,1502,2000,410470015022000,0
"Salem, OR",78229,41,47,2502,1117,410470025021117,0
"Salem, OR",78229,41,47,1702,3016,410470017023016,25
"Salem, OR",78229,41,47,1703,2004,410470017032004,99
"Salem, OR",78229,41,47,1802,2000,410470018022000,85
"Salem, OR",78229,41,47,1802,5010,410470018025010,170
"Salem, OR",78229,41,47,1802,2002,410470018022002,338
"Salem, OR",78229,41,47,1802,1013,410470018021013,55
"Salem, OR",78229,41,47,2700,1070,410470027001070,7
"Salem, OR",78229,41,47,600,3007,410470006003007,32
"Salem, OR",78229,41,47,600,3028,410470006003028,41
"Salem, OR",78229,41,47,600,1032,410470006001032,49
"Salem, OR",78229,41,47,600,1031,410470006001031,16
"Salem, OR",78229,41,47,600,2025,410470006002025,5
"Salem, OR",78229,41,47,600,3025,410470006003025,98
"Salem, OR",78229,41,47,900,1003,410470009001003,79
"Salem, OR",78229,41,47,600,2024,410470006002024,27
"Salem, OR",78229,41,47,900,5010,410470009005010,49
"Salem, OR",78229,41,47,900,4001,410470009004001,12
"Salem, OR",78229,41,47,900,1006,410470009001006,37
"Salem, OR",78229,41,47,900,2001,410470009002001,47
"Salem, OR",78229,41,47,2000,4034,410470020004034,181
"Salem, OR",78229,41,47,2000,4035,410470020004035,33
"Salem, OR",78229,41,47,2000,4045,410470020004045,18
"Salem, OR",78229,41,47,2700,1069,410470027001069,122
"Salem, OR",78229,41,47,2700,2019,410470027002019,9
"Salem, OR",78229,41,47,2700,2018,410470027002018,10
"Salem, OR",78229,41,47,2000,2023,410470020002023,74
"Salem, OR",78229,41,47,2000,4005,410470020004005,26
"Salem, OR",78229,41,47,2700,1022,410470027001022,69
"Salem, OR",78229,41,47,2304,3006,410470023043006,72
"Salem, OR",78229,41,47,2304,3004,410470023043004,10
"Salem, OR",78229,41,47,1601,2000,410470016012000,39
"Salem, OR",78229,41,47,2102,3014,410470021023014,26
"Salem, OR",78229,41,47,2202,3022,410470022023022,28
"Salem, OR",78229,41,47,2303,2009,410470023032009,81
"Salem, OR",78229,41,47,2202,1029,410470022021029,14
"Salem, OR",78229,41,47,2102,1011,410470021021011,125
"Salem, OR",78229,41,47,2102,4003,410470021024003,46
"Salem, OR",78229,41,47,2303,1012,410470023031012,161
"Salem, OR",78229,41,47,2102,4011,410470021024011,30
"Salem, OR",78229,41,47,2102,4012,410470021024012,198
"Salem, OR",78229,41,47,1401,3017,410470014013017,157
"Salem, OR",78229,41,47,1401,2023,410470014012023,11
"Salem, OR",78229,41,47,1501,1006,410470015011006,78
"Salem, OR",78229,41,47,1402,2008,410470014022008,62
"Salem, OR",78229,41,47,2700,3001,410470027003001,1
"Salem, OR",78229,41,47,1803,2033,410470018032033,0
"Salem, OR",78229,41,47,1601,1032,410470016011032,276
"Salem, OR",78229,41,47,1602,1001,410470016021001,37
"Salem, OR",78229,41,47,1601,1026,410470016011026,67
"Salem, OR",78229,41,47,1601,1034,410470016011034,25
"Salem, OR",78229,41,47,1602,2000,410470016022000,155
"Salem, OR",78229,41,47,1601,3006,410470016013006,0
"Salem, OR",78229,41,47,1602,5001,410470016025001,72
"Salem, OR",78229,41,47,1603,2017,410470016032017,31
"Salem, OR",78229,41,47,2000,3009,410470020003009,146
