ua_name,ua_id,state,county,tract,block,block_geoid,pop
"East Liverpool, OH--WV--PA",25687,39,29,952200,1116,390299522001116,8
"East Liverpool, OH--WV--PA",25687,39,29,952300,2011,390299523002011,41
"East Liverpool, OH--WV--PA",25687,39,29,952300,2009,390299523002009,21
"East Liverpool, OH--WV--PA",25687,39,29,952300,2007,390299523002007,12
"East Liverpool, OH--WV--PA",25687,39,29,952200,1117,390299522001117,9
"East Liverpool, OH--WV--PA",25687,39,29,952300,2018,390299523002018,19
"East Liverpool, OH--WV--PA",25687,39,29,952200,1035,390299522001035,15
"East Liverpool, OH--WV--PA",25687,39,29,952200,1001,390299522001001,12
"East Liverpool, OH--WV--PA",25687,39,29,952400,1012,390299524001012,132
"East Liverpool, OH--WV--PA",25687,39,29,952400,1014,390299524001014,0
"East Liverpool, OH--WV--PA",25687,39,29,951900,3041,390299519003041,7
"East Liverpool, OH--WV--PA",25687,39,29,952200,1097,390299522001097,0
"East Liverpool, OH--WV--PA",25687,39,29,952200,1093,390299522001093,18
"East Liverpool, OH--WV--PA",25687,39,29,952200,1019,390299522001019,24
"East Liverpool, OH--WV--PA",25687,39,29,952200,1133,390299522001133,12
"East Liverpool, OH--WV--PA",25687,39,29,952200,1119,390299522001119,9
"East Liverpool, OH--WV--PA",25687,39,29,952200,1112,390299522001112,2
"East Liverpool, OH--WV--PA",25687,39,29,952200,1075,390299522001075,17
"East Liverpool, OH--WV--PA",25687,39,29,951800,2031,390299518002031,26
"East Liverpool, OH--WV--PA",25687,39,29,951600,4018,390299516004018,13
"East Liverpool, OH--WV--PA",25687,39,29,952400,2008,390299524002008,12
"East Liverpool, OH--WV--PA",25687,39,29,952400,3028,390299524003028,21
"East Liverpool, OH--WV--PA",25687,39,29,951600,4032,390299516004032,37
"East Liverpool, OH--WV--PA",25687,39,29,951600,4015,390299516004015,8
"East Liverpool, OH--WV--PA",25687,39,29,951700,1014,390299517001014,2
"East Liverpool, OH--WV--PA",25687,39,29,951700,1005,390299517001005,15
"East Liverpool, OH--WV--PA",25687,39,29,951700,1018,390299517001018,22
"East Liverpool, OH--WV--PA",25687,39,29,951700,1017,390299517001017,4
"East Liverpool, OH--WV--PA",25687,39,29,951600,3023,390299516003023,49
"East Liverpool, OH--WV--PA",25687,39,29,952400,3017,390299524003017,61
"East Liverpool, OH--WV--PA",25687,39,29,952000,2007,390299520002007,0
"East Liverpool, OH--WV--PA",25687,39,29,951700,2030,390299517002030,17
"East Liverpool, OH--WV--PA",25687,39,29,951600,3025,390299516003025,89
"East Liverpool, OH--WV--PA",25687,39,29,951600,3016,390299516003016,65
"East Liverpool, OH--WV--PA",25687,39,29,951700,1000,390299517001000,12
"East Liverpool, OH--WV--PA",25687,39,29,951700,1006,390299517001006,4
"East Liverpool, OH--WV--PA",25687,39,29,951600,4028,390299516004028,0
"East Liverpool, OH--WV--PA",25687,39,29,951700,5006,390299517005006,2
"East Liverpool, OH--WV--PA",25687,39,29,951600,4029,390299516004029,0
"East Liverpool, OH--WV--PA",25687,39,29,951700,2001,390299517002001,18
"East Liverpool, OH--WV--PA",25687,39,29,952200,1096,390299522001096,22
"East Liverpool, OH--WV--PA",25687,39,29,952400,2045,390299524002045,22
"East Liverpool, OH--WV--PA",25687,39,29,952200,1104,390299522001104,22
"East Liverpool, OH--WV--PA",25687,39,29,952200,1079,390299522001079,10
"East Liverpool, OH--WV--PA",25687,39,29,952000,2074,390299520002074,11
"East Liverpool, OH--WV--PA",25687,39,29,952000,2077,390299520002077,0
"East Liverpool, OH--WV--PA",25687,39,29,951900,2028,390299519002028,0
"East Liverpool, OH--WV--PA",25687,39,29,952000,2031,390299520002031,46
"East Liverpool, OH--WV--PA",25687,39,29,951900,3042,390299519003042,2
"East Liverpool, OH--WV--PA",25687,39,29,952400,1007,390299524001007,0
"East Liverpool, OH--WV--PA",25687,39,29,952400,2038,390299524002038,10
"East Liverpool, OH--WV--PA",25687,39,29,952200,1061,390299522001061,0
"East Liverpool, OH--WV--PA",25687,39,29,951900,3025,390299519003025,6
"East Liverpool, OH--WV--PA",25687,39,29,951900,3030,390299519003030,6
"East Liverpool, OH--WV--PA",25687,39,29,951800,2030,390299518002030,31
"East Liverpool, OH--WV--PA",25687,39,29,951800,2050,390299518002050,1
"East Liverpool, OH--WV--PA",25687,39,29,951800,2013,390299518002013,60
"East Liverpool, OH--WV--PA",25687,39,29,951800,2006,390299518002006,3
"East Liverpool, OH--WV--PA",25687,39,29,951800,1032,390299518001032,0
"East Liverpool, OH--WV--PA",25687,39,29,951800,1026,390299518001026,48
"East Liverpool, OH--WV--PA",25687,39,29,951300,4019,390299513004019,0
"East Liverpool, OH--WV--PA",25687,39,29,951800,1022,390299518001022,28
"East Liverpool, OH--WV--PA",25687,39,29,951800,4020,390299518004020,35
"East Liverpool, OH--WV--PA",25687,39,29,951800,3017,390299518003017,22
"East Liverpool, OH--WV--PA",25687,39,29,951800,4000,390299518004000,113
"East Liverpool, OH--WV--PA",25687,39,29,951800,1043,390299518001043,5
"East Liverpool, OH--WV--PA",25687,39,29,951800,2040,390299518002040,23
"East Liverpool, OH--WV--PA",25687,39,29,951800,2057,390299518002057,70
"East Liverpool, OH--WV--PA",25687,39,29,951800,2052,390299518002052,28
"East Liverpool, OH--WV--PA",25687,39,29,951800,1013,390299518001013,8
"East Liverpool, OH--WV--PA",25687,39,29,951800,1002,390299518001002,0
"East Liverpool, OH--WV--PA",25687,39,29,951800,4003,390299518004003,20
"East Liverpool, OH--WV--PA",25687,39,29,951800,1046,390299518001046,0
"East Liverpool, OH--WV--PA",25687,39,29,951300,4020,390299513004020,55
"East Liverpool, OH--WV--PA",25687,39,29,952000,2009,390299520002009,0
"East Liverpool, OH--WV--PA",25687,39,29,951600,4034,390299516004034,0
"East Liverpool, OH--WV--PA",25687,39,29,951600,3039,390299516003039,0
"East Liverpool, OH--WV--PA",25687,39,29,952000,2002,390299520002002,35
"East Liverpool, OH--WV--PA",25687,39,29,952000,2013,390299520002013,68
"East Liverpool, OH--WV--PA",25687,39,29,951600,4031,390299516004031,68
"East Liverpool, OH--WV--PA",25687,39,29,952400,2006,390299524002006,22
"East Liverpool, OH--WV--PA",25687,39,29,951700,1003,390299517001003,20
"East Liverpool, OH--WV--PA",25687,39,29,952000,2004,390299520002004,0
"East Liverpool, OH--WV--PA",25687,39,29,951700,2022,390299517002022,0
"East Liverpool, OH--WV--PA",25687,39,29,952000,2043,390299520002043,10
"East Liverpool, OH--WV--PA",25687,39,29,952000,2048,390299520002048,27
"East Liverpool, OH--WV--PA",25687,39,29,952400,1034,390299524001034,6
"East Liverpool, OH--WV--PA",25687,39,29,951900,2002,390299519002002,183
"East Liverpool, OH--WV--PA",25687,39,29,951900,1011,390299519001011,10
"East Liverpool, OH--WV--PA",25687,39,29,951700,1037,390299517001037,6
"East Liverpool, OH--WV--PA",25687,39,29,952400,2016,390299524002016,19
"East Liverpool, OH--WV--PA",25687,39,29,951800,4002,390299518004002,24
"East Liverpool, OH--WV--PA",25687,39,29,951800,2039,390299518002039,37
"East Liverpool, OH--WV--PA",25687,39,29,951800,2043,390299518002043,19
"East Liverpool, OH--WV--PA",25687,39,29,951800,2046,390299518002046,18
"East Liverpool, OH--WV--PA",25687,39,29,951800,2032,390299518002032,8
"East Liverpool, OH--WV--PA",25687,39,29,951800,1042,390299518001042,16
"East Liverpool, OH--WV--PA",25687,39,29,951800,1048,390299518001048,3
"East Liverpool, OH--WV--PA",25687,39,29,951800,1018,390299518001018,26
"East Liverpool, OH--WV--PA",25687,39,29,951800,4019,390299518004019,17
"East Liverpool, OH--WV--PA",25687,39,29,951900,1028,390299519001028,0
