ua_name,ua_id,state,county,tract,block,block_geoid,pop
"Tuskegee, AL",89164,1,87,231900,1033,10872319001033,7
"Tuskegee, AL",89164,1,87,232000,2010,10872320002010,12
"Tuskegee, AL",89164,1,87,232000,1041,10872320001041,0
"Tuskegee, AL",89164,1,87,231601,1129,10872316011129,0
"Tuskegee, AL",89164,1,87,231900,1010,10872319001010,31
"Tuskegee, AL",89164,1,87,231602,1062,10872316021062,45
"Tuskegee, AL",89164,1,87,232000,1060,10872320001060,13
"Tuskegee, AL",89164,1,87,232100,1019,10872321001019,0
"Tuskegee, AL",89164,1,87,231601,1126,10872316011126,0
"Tuskegee, AL",89164,1,87,231603,1261,10872316031261,12
"Tuskegee, AL",89164,1,87,231900,1017,10872319001017,0
"Tuskegee, AL",89164,1,87,231700,1021,10872317001021,700
"Tuskegee, AL",89164,1,87,231900,1024,10872319001024,14
"Tuskegee, AL",89164,1,87,232000,2020,10872320002020,0
"Tuskegee, AL",89164,1,87,232000,1040,10872320001040,13
"Tuskegee, AL",89164,1,87,231900,1025,10872319001025,6
"Tuskegee, AL",89164,1,87,232000,2024,10872320002024,3
"Tuskegee, AL",89164,1,87,232000,1057,10872320001057,0
"Tuskegee, AL",89164,1,87,232100,1015,10872321001015,0
"Tuskegee, AL",89164,1,87,232100,2004,10872321002004,21
"Tuskegee, AL",89164,1,87,232100,2019,10872321002019,23
"Tuskegee, AL",89164,1,87,232100,2030,10872321002030,12
"Tuskegee, AL",89164,1,87,231601,1146,10872316011146,0
"Tuskegee, AL",89164,1,87,232100,2039,10872321002039,14
"Tuskegee, AL",89164,1,87,232100,2040,10872321002040,12
"Tuskegee, AL",89164,1,87,232000,1031,10872320001031,0
"Tuskegee, AL",89164,1,87,232000,2027,10872320002027,8
"Tuskegee, AL",89164,1,87,232000,2014,10872320002014,14
"Tuskegee, AL",89164,1,87,232000,2023,10872320002023,38
"Tuskegee, AL",89164,1,87,232100,1022,10872321001022,37
"Tuskegee, AL",89164,1,87,232100,2015,10872321002015,18
"Tuskegee, AL",89164,1,87,231900,2023,10872319002023,10
"Tuskegee, AL",89164,1,87,232100,2025,10872321002025,8
"Tuskegee, AL",89164,1,87,232000,2028,10872320002028,0
"Tuskegee, AL",89164,1,87,232000,1045,10872320001045,0
"Tuskegee, AL",89164,1,87,231602,1086,10872316021086,0
"Tuskegee, AL",89164,1,87,231602,1020,10872316021020,52
"Tuskegee, AL",89164,1,87,232000,2005,10872320002005,0
"Tuskegee, AL",89164,1,87,232000,1058,10872320001058,19
"Tuskegee, AL",89164,1,87,232000,1059,10872320001059,27
"Tuskegee, AL",89164,1,87,231700,1026,10872317001026,66
"Tuskegee, AL",89164,1,87,231602,1055,10872316021055,0
"Tuskegee, AL",89164,1,87,232000,1051,10872320001051,30
"Tuskegee, AL",89164,1,87,231602,1015,10872316021015,20
"Tuskegee, AL",89164,1,87,231800,2006,10872318002006,23
"Tuskegee, AL",89164,1,87,231603,1275,10872316031275,0
"Tuskegee, AL",89164,1,87,231800,2007,10872318002007,32
"Tuskegee, AL",89164,1,87,231700,1018,10872317001018,34
"Tuskegee, AL",89164,1,87,232000,1016,10872320001016,15
"Tuskegee, AL",89164,1,87,232000,1027,10872320001027,33
"Tuskegee, AL",89164,1,87,231900,1013,10872319001013,22
"Tuskegee, AL",89164,1,87,231602,1029,10872316021029,0
"Tuskegee, AL",89164,1,87,232000,2031,10872320002031,7
"Tuskegee, AL",89164,1,87,232000,2030,10872320002030,103
"Tuskegee, AL",89164,1,87,231800,1017,10872318001017,107
"Tuskegee, AL",89164,1,87,232000,2033,10872320002033,185
"Tuskegee, AL",89164,1,87,232000,2009,10872320002009,10
"Tuskegee, AL",89164,1,87,232000,2001,10872320002001,0
"Tuskegee, AL",89164,1,87,232000,1010,10872320001010,92
"Tuskegee, AL",89164,1,87,231800,1020,10872318001020,62
"Tuskegee, AL",89164,1,87,231800,1023,10872318001023,8
"Tuskegee, AL",89164,1,87,232000,1003,10872320001003,2
"Tuskegee, AL",89164,1,87,231602,1054,10872316021054,34
"Tuskegee, AL",89164,1,87,231602,1058,10872316021058,0
"Tuskegee, AL",89164,1,87,231602,1053,10872316021053,0
"Tuskegee, AL",89164,1,87,232100,2002,10872321002002,0
"Tuskegee, AL",89164,1,87,232000,2038,10872320002038,55
"Tuskegee, AL",89164,1,87,232100,2024,10872321002024,14
"Tuskegee, AL",89164,1,87,231602,1028,10872316021028,0
"Tuskegee, AL",89164,1,87,231700,1025,10872317001025,152
"Tuskegee, AL",89164,1,87,231900,2006,10872319002006,24
"Tuskegee, AL",89164,1,87,231602,1023,10872316021023,0
"Tuskegee, AL",89164,1,87,231900,1030,10872319001030,16
"Tuskegee, AL",89164,1,87,231900,1032,10872319001032,6
"Tuskegee, AL",89164,1,87,232000,1044,10872320001044,3
"Tuskegee, AL",89164,1,87,232000,1050,10872320001050,0
"Tuskegee, AL",89164,1,87,232100,2007,10872321002007,46
"Tuskegee, AL",89164,1,87,231800,1011,10872318001011,62
"Tuskegee, AL",89164,1,87,231900,2004,10872319002004,64
"Tuskegee, AL",89164,1,87,231800,1005,10872318001005,36
"Tuskegee, AL",89164,1,87,232000,2034,10872320002034,24
"Tuskegee, AL",89164,1,87,232100,2000,10872321002000,165
"Tuskegee, AL",89164,1,87,231700,1027,10872317001027,228
"Tuskegee, AL",89164,1,87,232100,1002,10872321001002,13
"Tuskegee, AL",89164,1,87,231602,1064,10872316021064,77
"Tuskegee, AL",89164,1,87,231602,1099,10872316021099,0
"Tuskegee, AL",89164,1,87,232100,2006,10872321002006,3
"Tuskegee, AL",89164,1,87,232000,2037,10872320002037,5
"Tuskegee, AL",89164,1,87,231800,1012,10872318001012,126
"Tuskegee, AL",89164,1,87,232000,2029,10872320002029,32
"Tuskegee, AL",89164,1,87,232000,2025,10872320002025,20
"Tuskegee, AL",89164,1,87,232100,2005,10872321002005,69
"Tuskegee, AL",89164,1,87,232100,2031,10872321002031,15
"Tuskegee, AL",89164,1,87,232100,2026,10872321002026,12
"Tuskegee, AL",89164,1,87,231900,1037,10872319001037,3
"Tuskegee, AL",89164,1,87,231602,1061,10872316021061,0
"Tuskegee, AL",89164,1,87,232100,1024,10872321001024,2
"Tuskegee, AL",89164,1,87,231601,1134,10872316011134,0
"Tuskegee, AL",89164,1,87,231602,1052,10872316021052,0
"Tuskegee, AL",89164,1,87,231602,1048,10872316021048,336
"Tuskegee, AL",89164,1,87,231602,1049,10872316021049,0
"Tuskegee, AL",89164,1,87,231900,1040,10872319001040,295
"Tuskegee, AL",89164,1,87,231800,2008,10872318002008,51
"Tuskegee, AL",89164,1,87,232000,1048,10872320001048,0
"Tuskegee, AL",89164,1,87,231602,1074,10872316021074,14
"Tuskegee, AL",89164,1,87,231602,1051,10872316021051,32
"Tuskegee, AL",89164,1,87,231603,1256,10872316031256,16
"Tuskegee, AL",89164,1,87,231602,1050,10872316021050,0
"Tuskegee, AL",89164,1,87,232000,1000,10872320001000,29
"Tuskegee, AL",89164,1,87,232000,1008,10872320001008,0
"Tuskegee, AL",89164,1,87,232000,1005,10872320001005,0
"Tuskegee, AL",89164,1,87,231800,1002,10872318001002,57
"Tuskegee, AL",89164,1,87,231602,1068,10872316021068,277
"Tuskegee, AL",89164,1,87,231602,1060,10872316021060,19
"Tuskegee, AL",89164,1,87,232000,2002,10872320002002,10
"Tuskegee, AL",89164,1,87,232100,1017,10872321001017,25
"Tuskegee, AL",89164,1,87,231900,2007,10872319002007,89
"Tuskegee, AL",89164,1,87,231900,2018,10872319002018,9
"Tuskegee, AL",89164,1,87,231900,2025,10872319002025,7
"Tuskegee, AL",89164,1,87,231603,1245,10872316031245,9
"Tuskegee, AL",89164,1,87,231700,1003,10872317001003,0
"Tuskegee, AL",89164,1,87,232100,1011,10872321001011,12
"Tuskegee, AL",89164,1,87,232000,2003,10872320002003,0
"Tuskegee, AL",89164,1,87,232100,1025,10872321001025,11
"Tuskegee, AL",89164,1,87,231602,1021,10872316021021,4
"Tuskegee, AL",89164,1,87,232100,2029,10872321002029,6
"Tuskegee, AL",89164,1,87,232000,1056,10872320001056,115
