ua_name,ua_id,state,county,tract,block,block_geoid,pop
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20510,3005,370190205103005,8
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,2032,370190205112032,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,2057,370190205112057,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,2056,370190205112056,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20510,1013,370190205101013,4
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,6037,370190205096037,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20510,1011,370190205101011,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,2085,370190205062085,4
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,1020,370190205111020,1
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,3006,370190205093006,2
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20510,3003,370190205103003,40
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20512,4029,370190205124029,5
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20512,3005,370190205123005,16
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,1013,370190205111013,5
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,4026,370190205074026,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3021,370190205073021,68
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3039,370190205073039,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,4021,370190205094021,4
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,1046,370190205061046,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,3005,370190205093005,18
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20508,1013,370190205081013,9
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,2013,370190205112013,10
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,4023,370190205074023,27
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,1105,370190205061105,1
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20504,1024,370190205041024,10
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,2019,370190205072019,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,1004,370190205071004,9
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,1015,370190205071015,4
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,4001,370190205094001,68
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,4014,370190205074014,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,2037,370190205112037,8
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,1028,370190205091028,14
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,3012,370190205093012,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,1080,370190205091080,83
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,2053,370190205062053,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,1078,370190205061078,4
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,1054,370190205061054,4
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,1006,370190205111006,7
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3014,370190205073014,70
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3024,370190205073024,10
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3038,370190205073038,9
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3028,370190205073028,66
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,2052,370190205062052,6
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20504,1030,370190205041030,5
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,1023,370190205071023,13
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3012,370190205073012,1
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,1025,370190205091025,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,3005,370190205073005,57
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20403,1016,370190204031016,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20601,2417,370190206012417,8
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,5004,370190205075004,84
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,1024,370190205071024,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20510,3014,370190205103014,2
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,4019,370190205074019,10
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,4027,370190205074027,18
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,2017,370190205072017,73
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,5021,370190205095021,25
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,4002,370190205074002,109
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20504,1041,370190205041041,14
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20601,2408,370190206012408,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,2001,370190205062001,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20508,1028,370190205081028,5
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,1097,370190205091097,23
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,4009,370190205074009,24
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20508,1029,370190205081029,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,1009,370190205091009,2
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20510,1005,370190205101005,139
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20509,3036,370190205093036,13
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,2044,370190205112044,22
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,2009,370190205112009,172
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,1028,370190205111028,29
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20507,5005,370190205075005,91
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,2096,370190205062096,2
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,1010,370190205061010,9
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,1050,370190205061050,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20511,1001,370190205111001,2
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,2094,370190205062094,0
"Myrtle Beach--Socastee, SC--NC",60895,37,19,20506,2013,370190205062013,0
